date;campaign_id;campaign_name;impressions;clicks;spend;currency
2026-07-01;1110001;Услуги | Поиск;8400;168;6120.00;RUB
2026-07-02;1110001;Услуги | Поиск;9100;175;6400.50;RUB
2026-07-03;1110001;Услуги | Поиск;7600;142;5310.00;RUB
2026-07-01;1110002;Услуги | РСЯ;15200;121;4100.00;RUB
2026-07-02;1110002;Услуги | РСЯ;14850;118;3980.40;RUB
2026-07-03;1110002;Услуги | РСЯ;16010;130;4420.00;RUB
2026-08-01;1110001;Услуги | Поиск;8800;190;7010.00;RUB
2026-08-02;1110001;Услуги | Поиск;9400;201;7355.20;RUB
2026-08-03;1110001;Услуги | Поиск;8700;166;6125.00;RUB
2026-08-01;1110002;Услуги | РСЯ;17100;129;4550.00;RUB
2026-08-02;1110002;Услуги | РСЯ;16540;124;4388.10;RUB
2026-08-03;1110002;Услуги | РСЯ;18020;141;4900.00;RUB
