date;source;campaign_name;sessions;users;goal_id;goal_name;goal_completions
2026-07-01;yandex;Услуги | Поиск;150;132;900001;Заявка с формы;5
2026-07-02;yandex;Услуги | Поиск;158;140;900001;Заявка с формы;6
2026-07-03;yandex;Услуги | Поиск;134;121;900001;Заявка с формы;4
2026-07-01;yandex;Услуги | РСЯ;88;79;900001;Заявка с формы;2
2026-07-02;yandex;Услуги | РСЯ;91;80;900001;Заявка с формы;1
2026-07-03;yandex;Услуги | РСЯ;97;84;900001;Заявка с формы;2
2026-07-01;organic;;210;188;900001;Заявка с формы;3
2026-07-02;organic;;225;201;900001;Заявка с формы;4
2026-07-03;organic;;198;176;900001;Заявка с формы;3
2026-08-01;yandex;Услуги | Поиск;162;144;900001;Заявка с формы;7
2026-08-02;yandex;Услуги | Поиск;170;151;900001;Заявка с формы;6
2026-08-03;yandex;Услуги | Поиск;149;130;900001;Заявка с формы;5
2026-08-01;yandex;Услуги | РСЯ;95;86;900001;Заявка с формы;2
2026-08-02;yandex;Услуги | РСЯ;90;81;900001;Заявка с формы;2
2026-08-03;yandex;Услуги | РСЯ;104;93;900001;Заявка с формы;3
2026-08-01;organic;;230;205;900001;Заявка с формы;4
2026-08-02;organic;;241;214;900001;Заявка с формы;5
2026-08-03;organic;;220;196;900001;Заявка с формы;3
